hotel_id,name,metaphone,description,address,lat,lng
11,"Laxur Odayya Hotel",LKSRTHTL,"Laxur Odayya Hotel in Santiago City has 3-star accommodations with a fitness center and a bar. This 3-star hotel offers room service and a 24-hour front desk. The rooms are equipped with a balcony.

The hotel will provide guests with air-conditioned rooms with a desk, an electric tea pot, a safety deposit box, a flat-screen TV, a terrace and a private bathroom with a bidet. All rooms feature a closet.","National Highway Purok Paraiso Barangay Batal, 3311 Santiago City, Philippines",16.69681100,121.55850000
12,"Dreamwave Hotel Santiago",TRMWFHTLSNXK,"Dreamwave Hotel Santiago is located in Santiago City. Among the facilities at this property are room service and a 24-hour front desk, along with free WiFi throughout the property.

All guest rooms in the hotel are equipped with a flat-screen TV. At Dreamwave Hotel Santiago, every room includes air conditioning and a private bathroom.","Pan Philippine Highway corner Four Lanes, Isabela, 3311 Santiago City, Philippines",16.69245900,121.55500800
13,"Villa de Babat",FLTBBT,"Villa de Babat in Basco provides accommodations with a seasonal outdoor swimming pool and a shared lounge. This bed and breakfast offers free private parking and free shuttle service. The accommodation provides luggage storage space, a concierge service, and organizing tours for guests.

At the bed and breakfast, the units include a desk, a flat-screen TV, a private bathroom, bed linen, and towels. There's also a well-equipped kitchenette in some units equipped with an oven, a microwave, and a toaster. At the bed and breakfast, some units are soundproof.

Breakfast is available every morning, and includes continental, American and Asian options. Guests may eat at the on-site family-friendly restaurant, which is open for dinner, brunch, cocktails, and high tea.

Guests at the bed and breakfast will be able to enjoy activities in and around Basco, like cycling and hiking. Villa de Babat has both a sun terrace and garden to relax in after a busy day, along with water sports facilities.

Valugan Boulder Beach is 1.7 miles from the accommodation.","305 Reyes Street, Kayvaluganan, Batanes, 3900 Basco, Philippines",20.44966238,121.97511435
14,"RedDoorz Plus @ Green Star Park Cagayan",RTRSPLSKRNSTRPRKKKYN,"Located in Ziminila, RedDoorz Plus @ Green Star Park Cagayan provides air-conditioned rooms with free WiFi. The hotel features family rooms.","Dugo San Vicente Rd. Bulala Camalaniugan, 3510 Ziminila, Philippines",18.26067500,121.69766300
15,"The Blanket Hotel Restaurant & Coffee",0BLNKTHTLRSTRNTKF,"Located in Ilagan, The Blanket Hotel Restaurant & Coffee features a garden and a restaurant. The property provides a 24-hour front desk, airport transportation, room service and free WiFi throughout the property.

At the hotel, all rooms include a desk. Complete with a private bathroom equipped with a bidet and free toiletries, guest rooms at The Blanket Hotel Restaurant & Coffee have a flat-screen TV and air conditioning, and selected rooms have a terrace. At the accommodation each room includes bed linen and towels.

The Blanket Hotel Restaurant & Coffee offers an American or Asian breakfast.","Rizal St. corner Taft St. Sta. Barbara, 3300 Ilagan, Philippines",17.14779900,121.88877500
16,"Kara’s Pension House",KRSPNXNHS,"Offering free WiFi throughout the property, Kara’s Pension House is located in Tuguegarao City.

At the hostel, all rooms include air conditioning and a private bathroom.","Mabini Street 3rd floor MK Building, 3500 Tuguegarao City, Philippines",17.61272500,121.72356500
17,"RedDoorz Hostel @ Madrias Pension House Isabela",RTRSHSTLMTRSPNXNHSSBL,"RedDoorz Hostel @ Madrias Pension House Isabela has air-conditioned accommodations in Tumauini.","Brgy San Mateo Tumauini isabela, Delfin Albano, Isabela, Philippines, 3325, 3325 Tumauini, Philippines",17.25924900,121.74234300
18,"Dreamwave Hotel Ilagan",TRMWFHTLLKN,"Dreamwave Hotel Ilagan is located in Ilagan. Among the facilities at this property are room service and a 24-hour front desk, along with free WiFi throughout the property.

All guest rooms in the hotel are equipped with a flat-screen TV. At Dreamwave Hotel Ilagan all rooms are equipped with air conditioning and a private bathroom.","Pan-Philippine Highway, Barangay Gamu, Isabela, 1800 Ilagan, Philippines",17.09813007,121.85434444
19,"Balai Carmela",BLKRML,"Balai Carmela has a fitness center, garden, a terrace and restaurant in Tuguegarao City. With an outdoor swimming pool, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property has free shuttle service, room service and luggage storage for guests.

The rooms are equipped with a flat-screen TV, and some accommodations at the hotel have a pool view. At Balai Carmela the rooms include bed linen and towels.

À la carte and Asian breakfast options are available each morning at the accommodation.

Balai Carmela has a grill.

Speaking English and Filipino at the 24-hour front desk, staff are willing to help at any time of the day.","1250 Dunkin Drive, Enrile Boulevard, Barangay Caggay, Cagayan, 3500 Tuguegarao City, Philippines",17.64927337,121.75817092
20,"Meaco Royal Hotel- Aparri",MKRYLHTLPR,"Meaco Royal Hotel- Aparri is a 1-star property located in Camalaniugan. This 1-star hotel offers a 24-hour front desk.

Every room has air conditioning and a flat-screen TV, and certain units at the hotel have a balcony.","Centro 14, Poblacion back of Novo Mall, 3515 Camalaniugan, Philippines",18.35236383,121.64256149
21,"Hotel Juliana",HTLJLN,"Hotel Juliana is a 1-star property located in Tuguegarao City. Featuring a shared lounge, the 1-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The hotel provides a terrace and a 24-hour front desk.

At the hotel, every room is equipped with a closet. Guest rooms in Hotel Juliana are equipped with a flat-screen TV and free toiletries.","2-B Blumentritt Street, Centro 04, Cagayan, 3500 Tuguegarao City, Philippines",17.61534685,121.72906172
22,"RedDoorz Isabelita Hotel Tugegarao City",RTRSSBLTHTLTJKRST,"RedDoorz Isabelita Hotel Tugegarao City is offering accommodations in Tuguegarao City.

Featuring a private bathroom with a shower and free toiletries, rooms at the hotel also offer free WiFi. At RedDoorz Isabelita Hotel Tugegarao City each room has air conditioning and a TV.","Rose Street, Bagay Road, San Gabriel, 3500 Tuguegarao City, Philippines",17.62485603,121.71993756
23,"Radlett Residences - Tuguegarao",RTLTRSTNSSTKKR,"Located in Tuguegarao City in the Luzon region, Radlett Residences - Tuguegarao has a garden. This bed and breakfast offers free private parking, a 24-hour front desk and free WiFi.

The air-conditioned room also features a flat-screen TV with Netflix, a seating area, and 1 bathroom with a bidet and a shower.

Guests can enjoy breakfast on site.","Campos Street, 3500 Tuguegarao City, Philippines",17.62042342,121.72672629
24,"NGN Gran Hotel",NNKRNHTL,"NGN Gran Hotel provides accommodations in Tuguegarao City. The property has a 24-hour front desk, airport transportation, a shared lounge and free WiFi.

An Asian breakfast is available each morning at the hotel.","Purok 7 Caggay, 3500 Tuguegarao City, Philippines",17.63867900,121.74519300
25,"MAISON HOTEL",MSNHTL,"MAISON HOTEL is a 2-star property located in Cauayan City. Featuring room service, this property also welcomes guests with a restaurant and a terrace. There is free private parking and the property has free airport shuttle service.

At the hotel, rooms come with a desk. Complete with a private bathroom equipped with a bidet and free toiletries, all rooms at MAISON HOTEL have a flat-screen TV and air conditioning, and selected rooms also offer a balcony. At the accommodation all rooms include bed linen and towels.

An à la carte, American or Asian breakfast is available every morning at the property.

Staff at MAISON HOTEL are always available to provide information at the reception.","Burgos Street District 1, 3305 Cauayan City, Philippines",16.93574200,121.77066500
26,"RedDoorz @ Grand Valley Hotel Junction Luna Cagayan",RTRSKRNTFLHTLJNKXNLNKKYN,"RedDoorz @ Grand Valley Hotel Junction Luna Cagayan has accommodations in Colonia Parcela Number One. The hotel has family rooms.

At the hotel rooms have air conditioning and a flat-screen TV.

Speaking English and Filipino at the reception, staff are willing to help at any time of the day.","Junction Luna , Abulug , Cagayan Valley, 3517 Colonia Parcela Number One, Philippines",18.35250500,121.41062300
27,"RedDoorz D128 Lodge Cagayan Valley",RTRSTLJKKYNFL,"Located in Tuguegarao City, RedDoorz D128 Lodge Cagayan Valley has accommodations with free WiFi, air conditioning and access to a garden with a terrace.

There's a fully equipped private bathroom with shower and free toiletries.","Enrile Avenue zone 7, 3500 Tuguegarao City, Philippines",17.64889545,121.74981713
28,"Al Manor Bed & Breakfast",ALMNRBTBRKFST,"Providing a garden, Al Manor Bed & Breakfast provides accommodations in Dalaya.

All units have air conditioning, and certain units at the bed and breakfast have a terrace. At the bed and breakfast, every unit includes bed linen and towels.

À la carte and Asian breakfast options are available daily at the bed and breakfast.","Al Manor Beach Resort, 3511 Dalaya, Philippines",18.27617911,121.87472498
29,"The Family Farm Stay",0FMLFRMST,"Providing barbecue facilities, The Family Farm Stay offers accommodations in Cauayan City. This property offers access to a terrace and free private parking. The property offers car rental and features a garden and outdoor fireplace.

Towels and bed linen are featured in the farm stay. The accommodation is non-smoking.

An Asian breakfast is available daily at the farm stay. Guests can relax in the on-site lounge, while packed lunches are also available upon request.

For guests with children, The Family Farm Stay provides an indoor play area and a baby safety gate. The farm stay has a picnic area where you can spend the day outdoors.","Marabulig I, Cauayan City, Philippines",16.91652596,121.74191595
30,"Hotel Joselina",HTLJSLN,"Hotel Joselina is a 1-star property located in Tuguegarao City. With a restaurant, the 1-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property provides room service and a 24-hour front desk for guests.

At the hotel, each room comes with a desk. Guest rooms in Hotel Joselina are equipped with a flat-screen TV and free toiletries.","Maharlika Highway , Barangay Caggay, 3500 Tuguegarao City, Philippines",17.63052400,121.74036400
31,"RedDoorz Plus @ Taj Hotel Tuguegarao",RTRSPLSTJHTLTKKR,"RedDoorz Plus @ Taj Hotel Tuguegarao is a 2-star property located in Tuguegarao City. This 2-star hotel offers free WiFi. The hotel has family rooms.

At the hotel rooms are equipped with air conditioning and a flat-screen TV.","7B Taft Street,  Tuguegarao City, Cagayan, Philippines, 3500., 3500 Tuguegarao City, Philippines",17.61260600,121.72614200
32,"Bernardo's Lantia Hotel",BRNRTSLNXHTL,"Located in Basco, Bernardo's Lantia Hotel offers 3-star accommodations with a terrace and a restaurant. Featuring a garden, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property provides free shuttle service, room service and organizing tours for guests.

At the hotel, each room comes with a balcony with a mountain view. Guest rooms in Bernardo's Lantia Hotel are equipped with a flat-screen TV and free toiletries.

The accommodation offers an à la carte or Asian breakfast.

You can play ping pong and darts at this 3-star hotel, and car rental is available.

Speaking English and Filipino at the reception, staff are willing to help at any time of the day.

Valugan Boulder Beach is 1.7 miles from Bernardo's Lantia Hotel.","Payin Street, Barangay Chanarian, Batanes, 3900 Basco, Philippines",20.44840000,121.97051600
33,"Montana Place Camp & Accommodations",MNTNPLSKMPKKMTXNS,"Montana Place Camp & Accommodations is located in Santa Ana. This property has a terrace and free private parking.

With 1 bedroom, this air-conditioned apartment features 2 bathrooms with a bidet and a shower.

Guests at the apartment can enjoy an American breakfast.","Montana Place, Brgy. Palawig, 3514 Santa Ana, Philippines",18.46691700,122.14615020
34,"Hotel Elinas and Restaurant",HTLLNSNTRSTRNT,"Hotel Elinas and Restaurant has accommodations in Tuguegarao City. The hotel has family rooms.

The private bathroom is equipped with a shower and free toiletries. At the hotel rooms come with air conditioning and a TV.","133 Bonifacio Street, 3500 Tuguegarao City, Philippines",17.61207600,121.72841500
35,"Livin's Inn Tuguegarao",LFNSNTKKR,"Located in Tuguegarao City, Livin's Inn Tuguegarao provides air-conditioned rooms with free WiFi.

All rooms in the hotel are equipped with a TV. Guest rooms include a private bathroom, free toiletries and bed linen.

Speaking English and Filipino, staff are willing to help at any time of the day at the reception.","14B Maharlika Highway Pengue Ruyu, 3500 Tuguegarao City, Philippines",17.63041200,121.73960800
36,"ichehan lodge",IXHNLJ,"Ichehan lodge offers accommodations in Basco, 1.6 miles from Valugan Boulder Beach.

All units feature air conditioning and a flat-screen TV. Rooms are fitted with a private bathroom with a bidet. At the bed and breakfast, units are fitted with bed linen and towels.","Contra Costa Road ichehan lodge, 3900 Basco, Philippines",20.44737665,121.97235075
37,"Reinhardshausen Suites and Residences - Cozy Air-conditioned Units",RNHRTXSNSTSNTRSTNSSKSRKNTXNTNTS,"Reinhardshausen Suites and Residences - Cozy Air-conditioned Units is located in Tuguegarao City and offers a terrace. This property has a balcony, free private parking and free WiFi.

The air-conditioned apartment is composed of 1 separate bedroom, a living room, a fully equipped kitchen, and 1 bathroom.","Guyabano Extension, 3500 Tuguegarao City, Philippines",17.63731796,121.73177527
38,"AN Velayo Homestay (ANVEL)",ANFLYHMSTNFL,"AN Velayo Homestay (ANVEL) offers accommodations in Basco, 1.8 miles from Valugan Boulder Beach. This property offers access to a terrace, free private parking, and free Wifi.

Guests can take in the views of the mountain from the balcony, which also has outdoor furniture. For added privacy, the accommodation features a private entrance.

Guests at the guest house can enjoy an Asian breakfast.","Dita Street, Kayhuvokan, Batanes, 3900 Basco, Philippines",20.44506382,121.97438109
39,"JL Valley Suites",JLFLSTS,"Located in Cauayan City, JL Valley Suites features a garden, terrace, restaurant, and free WiFi. The hotel has family rooms.

All guest rooms in the hotel are equipped with air conditioning, a seating area, a TV with cable channels, a kitchenette, a dining area and a private bathroom with free toiletries, a bidet and a shower. JL Valley Suites provides some units with garden views, and every room includes an electric tea pot. At the accommodation all rooms are equipped with bed linen and towels.

Speaking English and Filipino, staff are always on hand to help at the reception.","57 New Airport Road, 3305 Cauayan City, Philippines",16.92714100,121.75418500
40,"RedDoorz @ Bridgeway Hotel Tuguegarao City",RTRSBRJWHTLTKKRST,"RedDoorz @ Bridgeway Hotel Tuguegarao City is a 1-star property located in Tuguegarao City. This 1-star hotel offers a 24-hour front desk and free WiFi. The hotel has family rooms.","Bridgeway Hotel, Tuguegarao City, Cagayan, Philippines, 3500 Tuguegarao City, Philippines",17.61334600,121.70911300
41,"PARB Tuguegarao",PRBTKKR,"A sustainable homestay, PARB Tuguegarao offers accommodation in Tuguegarao City. This homestay offers a shared lounge. There's a sun terrace and guests can access free Wifi and free private parking.

All units comprise a seating area, a dining area, and a fully equipped kitchen with various cooking facilities, including a microwave, a fridge, a stovetop, and kitchenware. Rooms come with a private bathroom with a bidet and free toiletries, while some rooms also feature a balcony. At the homestay, units come with bed linen and towels.

A mini-market is available at the homestay.","556 Lavadia Street Caggay, 3500 Tuguegarao City, Philippines",17.64332595,121.75893396
42,"Horlina’s Homestay",HRLNSHMST,"Located in Basco, Horlina’s Homestay has accommodations with free WiFi and a garden with a terrace and mountain views.

Every unit has a private bathroom and shower, air conditioning, a flat-screen TV and a fridge. Some units feature a dining area and/or a balcony.","Caspo Road.., Brgy. Kaychanarianan Basco, 3900 Basco, Philippines",20.44533305,121.96870205
43,"Hotel Carmelita",HTLKRMLT,"Located in Tuguegarao City, Hotel Carmelita offers 2-star accommodations with a shared lounge, a restaurant and a bar. This 2-star hotel offers luggage storage space. The property provides a 24-hour front desk, airport transportation, room service and free WiFi throughout the property.

The hotel offers an à la carte or Asian breakfast.","9 Diversion Road, Balzain, Cagayan, 3500 Tuguegarao City, Philippines",17.62646423,121.72995944
44,"Batanes Seaside Lodge & Restaurant",BTNSSSTLJRSTRNT,"Batanes Seaside Lodge & Restaurant features a garden, shared lounge, a terrace and restaurant in Basco. This 3-star hotel offers room service. Guests can use a bar.

At the hotel, all rooms are equipped with a desk. Complete with a private bathroom equipped with a shower and free toiletries, all guest rooms at Batanes Seaside Lodge & Restaurant have a flat-screen TV and air conditioning, and some rooms come with a patio. The rooms feature a closet.

An à la carte, continental or Full English/Irish breakfast is served at the property.

Valugan Boulder Beach is 1.8 miles from the accommodation.","National Road, Batanes, 3900 Basco, Philippines",20.43808000,121.96334300
45,"Den Den Guesthouse",TNTNKS0S,"Den Den Guesthouse offers accommodations in Basco, 1.7 miles from Valugan Boulder Beach. There's a private entrance at the guest house for the convenience of those who stay.

All units feature air conditioning and a flat-screen TV. Each room is equipped with a private bathroom with free toiletries, while certain rooms include a fully equipped kitchen with a microwave. At the guest house, each unit is equipped with bed linen and towels.

Guests can also relax in the garden or on the sun terrace.","Dita Street corner Castillejos Street, Batanes, 3900 Basco, Philippines",20.44945603,121.97113752
46,"Hotel Joselina - Main Branch",HTLJSLNMNBRNX,"Hotel Joselina - Main Branch has accommodations in Tuguegarao City. The hotel has family rooms.

At the hotel rooms are equipped with air conditioning and a flat-screen TV.","Aguinaldo Street, No.52, 3500 Tuguegarao City, Philippines",17.61222700,121.72804500
47,"Beach Front Bed & Dine",BXFRNTBTTN,"Beach Front Bed & Dine offers accommodations in Basco, 1.8 miles from Valugan Boulder Beach. This property offers access to a balcony and free private parking. Guests can use a terrace.

Towels and bed linen are offered in the homestay. The property offers sea views.

An Asian breakfast is available each morning at the homestay.","National Rd, 3900 Basco, Philippines",20.43807960,121.96334300
48,"Julz Ridge Exclusive Staycation Resort",JLSRJKSKLSFSTKXNRSRT,"Julz Ridge Exclusive Staycation Resort is a recently renovated vacation home in Bayombong where guests can make the most of its outdoor swimming pool, garden, and shared lounge. This property offers access to a balcony, free private parking, and free Wifi. The vacation home provides an outdoor fireplace and a 24-hour front desk.

Providing a terrace and mountain views, the spacious vacation home includes 3 bedrooms, a living room, cable flat-screen TV, an equipped kitchen, and 4 bathrooms with a bidet and an a bath or shower. The vacation home also offers a seating area and 4 bathrooms. The property has an outdoor dining area.

The vacation home has a picnic area where you can spend the day outdoors.","Bayombong - Ambaguio Road, 3700 Bayombong, Philippines",16.50511689,121.11565691
49,"Farmer's Guesthouse",FRMRSKS0S,"Farmer's Guesthouse is located in Mahatao, a 17-minute walk from Diura Beach. The property provides a shared lounge and room service for guests.

Each room has air conditioning, a closet and a flat-screen TV, and certain rooms at the guesthouse have a terrace. At Farmer's Guesthouse every room is equipped with bed linen and towels.

Guests at the accommodation can enjoy an Asian breakfast.

Guests at Farmer's Guesthouse will be able to enjoy activities in and around Mahatao, like hiking.","Lucero St. Corner Pendiente St., 3901 Mahatao, Philippines",20.40515600,121.95299900
50,"RedDoorz @ Star Jewel Lodge Apayao",RTRSSTRJWLLJPY,"RedDoorz @ Star Jewel Lodge Apayao provides air-conditioned rooms in Colonia Parcela Number One. The hotel features family rooms.

All rooms in the hotel are equipped with a flat-screen TV. All guest rooms feature a private bathroom with a shower and free toiletries.

Languages spoken at the reception include English and Filipino.","Star Jewel Lodge, Kabugao - Pudtol - Luna - Cagayan Boundary Road, Luna, Apayao, Philippines, 3807 Colonia Parcela Number One, Philippines",18.32741900,121.37994700
51,"Balzain's Place",BLSNSPLS,"Balzain's Place has accommodations in Tuguegarao City. Featuring a concierge service, this property also provides guests with a terrace. This pet-friendly guesthouse also has free WiFi.

At the guesthouse, every room has a closet. Complete with a private bathroom equipped with a shower and free toiletries, the rooms at Balzain's Place have a flat-screen TV and air conditioning, and certain rooms are equipped with a balcony. At the accommodation rooms contain bed linen and towels.","19 Liban Street, Balzain East, Centro 11, 3500 Tuguegarao City, Philippines",17.62093067,121.73020185
52,"RedDoorz @ Balai Baibai Cagayan",RTRSBLBBKKYN,"Located in Bawa, RedDoorz @ Balai Baibai Cagayan provides free WiFi. The hotel features family rooms.

At the hotel every room is equipped with air conditioning and a flat-screen TV.","Balai Baibai, Gonzaga, Cagayan, Philippines, 3513 Bawa, Philippines",18.33256295,122.06159800
53,"Jesnor Private Beach and Garden Resort",JSNRPRFTBXNTKRTNRSRT,"Featuring a private beach area, Jesnor Private Beach and Garden Resort provides accommodations in Santa Ana. This campground features free private parking and a shared lounge. Guests have access to a public bath and open-air bath.

The spacious campground includes 3 bedrooms, a living room, and 4 bathrooms with a bidet. Guests can enjoy a meal on an outdoor dining area while overlooking the sea views.

With an outdoor fireplace and a picnic area, this campground offers plenty of opportunities to wind down.","Casambalangan, 3500 Santa Ana, Philippines",18.37769007,122.12421376
54,"Necy's Homestay",NSSHMST,"Necy's Homestay is a sustainable guest house in Basco where guests can make the most of its garden and terrace. Among the facilities at this property are free shuttle service and luggage storage space, along with free Wifi throughout the property. The accommodation provides room service and an ATM for guests.

At the guest house, units are equipped with a balcony. All rooms are equipped with a private bathroom with a bidet and free toiletries. At the guest house, all units are equipped with bed linen and towels.

A mini-market is available at the guest house.

Guests can also relax in the shared lounge area.","Basco Batanes, 3900 Basco, Philippines",20.45123413,121.96994328
55,"The Maximilian Hotel",0MKSMLNHTL,"The Maximilian Hotel has a fitness center, garden, a terrace and restaurant in Cauayan City. This 4-star hotel offers room service and a 24-hour front desk. Guests can have a drink at the bar.

At the hotel, the rooms include a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms have an electric tea pot, while selected rooms also feature a balcony and others also feature pool views. At The Maximilian Hotel each room comes with a seating area.

The daily breakfast offers buffet, à la carte or continental options.","Prenza National Highway, District 1, 3305 Cauayan City, Philippines",16.91662400,121.78792400
56,"Dipudo Private Island Resort",TPTPRFTSLNTRSRT,"Dipudo Private Island Resort features a restaurant, outdoor swimming pool, a bar and garden in Isabela. Featuring room service, this property also provides guests with a terrace. The resort has family rooms.

Guest rooms in the resort are equipped with a kettle. At Dipudo Private Island Resort each room is equipped with a flat-screen TV, a private bathroom, and a balcony with a sea view.

You can play billiards, table tennis, and darts at Dipudo Private Island Resort.","Dipudo, Divilacan, Isabela, 1210 Dipudo, Philippines",17.35703232,122.36352882
57,"Cagayan Valley Property",KKYNFLPRPRT,"Featuring a hot tub, Cagayan Valley Property is located in Peñablanca. This property has a balcony and free private parking.

Opening onto a terrace with garden views, the air-conditioned villa consists of 1 bedroom and a fully equipped kitchen. A flat-screen TV is provided.","Block 5 lot 9 Vista Del Rio Alimanao Penablanca, 3502 Peñablanca, Philippines",17.60981844,121.72580526
58,"Boulder-Bay Residences",BLTRBRSTNSS,"Located in Basco, 1.8 miles from Valugan Boulder Beach, Boulder-Bay Residences has accommodations with a garden, free private parking, a terrace and a restaurant. This 3-star hotel offers room service and a 24-hour front desk. The hotel has family rooms.

At the hotel rooms come with air conditioning, a closet, a balcony with a mountain view, a private bathroom, a flat-screen TV, bed linen and towels. At Boulder-Bay Residences, every room includes a seating area.

Guests at the accommodation can enjoy an Asian breakfast.","National Road, 3900 Basco, Philippines",20.43808000,121.96334300
